1,"We have reviewed your resume and after careful consideration we have decided not to proceed with your candidacy at this time.  We're growing quickly, so we encourage you to check back with us for future roles."
2,Thank you for giving us the opportunity to consider you for employment. We have reviewed your background and qualifications and find that we do not have an appropriate position for you at this time.
3,"Your resume is very competitive, but our hiring team did not select it for further consideration. If other opportunities open up, we’ll reach back out. In the meantime, I wish you success in your job search and in your career."
4,"Thank you for giving us the opportunity to consider you for employment. We have reviewed your background and qualifications and at this time, we have decided to move forward with other candidates."
5,We regret to inform you that you are no longer being considered for the Junior Full-Stack Developer position. Thank you for your interest and for taking the time to apply.
6,"Thank you for the interest you have expressed in the Systems Engineer position   While your qualifications were impressive, we have decided to select another candidate who we believe more closely matches what we are looking for in this position."
7,"Thank you for your interest in our Web Developer Intern position. While your skills and background are impressive, we have unfortunately decided to proceed with other candidates who more closely fit our needs at this time."
8,"We are fortunate to have received many qualified applicants. Although we were impressed with your qualifications, we have decided not to move your application forward."
9,"Dear Applicant, The Web Content Developer position for which you applied has been filled.  Please continue to monitor for future employment opportunities within our company.  Thank You"
10,"Your background and qualifications have been given careful review with respect to this position. Although you were not selected for this position, we appreciate your desire to expand your career."
11,"We reviewed your application carefully. Unfortunately, we won’t be moving forward with you at this time. We’ll keep your information on file, and look forward to reaching out to you when the right opportunity arises."
12,"We appreciate your interest and the time you’ve invested in applying for the Software Engineer - Back End opening. Unfortunately, our team did not select you for further consideration"
13,"Thank you for expressing interest in our company. After careful review, we have determined that we will not be moving your application forward for the Software Engineer role at this time."
14,"Thank you for taking the time to complete our coding exercise. I have received feedback from the engineering team regarding your submission. Unfortunately, after careful consideration, we have decided not to move forward with your candidacy.  We really appreciate the opportunity to review your qualifications. We wish you the best in your job search."
15,"Thanks for your interest in the Software Engineer role. We have reviewed your resume and after careful consideration, we have decided not to proceed with your candidacy at this time.  We're growing quickly, so we encourage you to check back with us for future roles.  Thanks again for your interest in us and we wish you the best of luck in your job search."
16,"Unfortunately, we have decided not to move forward with your application at this time. We will keep your resume on file for future openings that may be a better fit."
17,"Thanks again for your application for the position of Ruby Developer with us. Unfortunately, at this time we will not proceed further with your application."
18,"I was able to connect with the hiring team and unfortunately, they have decided not to proceed further with your candidacy at this time. Rest assured, this decision had nothing to do with your skillset or interpersonal skills, we have come to the conclusion we are looking for someone with more years of experience."
19,"We appreciate your interest in our company and the time you’ve invested in applying for the Software Engineer opening. We know there are many companies out there that are hiring, and your consideration means a lot to us!  At this time, we've decided not to move forward with your candidacy. If you're not already doing so, you can follow us on LinkedIn to keep up with company news and view future job openings. We hope you’ll keep us in mind and we encourage you to apply again.  Thanks again for your interest and best of luck with your job search!  Kindest regards,  HR"
20,We want to thank you for taking the time to complete our assessment regarding our Software Engineer position.  After careful review it has been decided that there is not a strong fit at the moment.   Thanks again for your interest in us and I hope you will remain enthusiastic about our company.
21,"Thanks very much for your interest in our company. We appreciate the chance to learn more about you and your professional experience.  We reviewed your Software Engineer application carefully. Unfortunately, we won’t be moving forward with you at this time. We’ll keep your information on file, and look forward to reaching out to you when the right opportunity arises."
22,"Thank you for your interest in employment with us. After careful review of all candidates, another applicant who was determined to be best suited to our needs has been selected.  We wish you much success in your career endeavors and encourage you to continue to check our employment opportunity website for future openings that are of interest to you."
23,"Thank you so much for giving us the opportunity to consider you for the Software Engineer, Backend role. Your interest in our company means a lot.  We've reviewed your application and at this time, unfortunately it's not a match for what we're currently looking for.  If anything changes down the line we'll be sure to reach out! Thanks again for your interest in us and we wish you luck in your search.  Best Regards,  Recruiting Team"
24,"Thank you for your interest in our company. We received your application our Backend Software Engineer role. We really appreciate your interest in joining our company and we want to thank you for the time and energy you invested in applying for our job opening.  We received a large number of applications, though your qualifications are impressive, we have decided to move forward with candidates whose experiences better meet our needs for this particular role. We hope you’ll keep us in mind and apply again in the future should you see a job opening for which you qualify.  We wish you every personal and professional success in your future endeavors.  Best Regards, Recruiting Team"
25,"Thank you for your interest in our company. We know there are a lot of companies out there and we greatly appreciate the time you took to apply. Our recruiters have carefully reviewed your application and based on the needs for this particular role, we've decided not to move you forward in the process at this time and to proceed with candidates whose qualifications and background are a better fit. In the meantime, we will retain your candidate file in our database and inform you of any openings that match your profile. We sincerely thank you for your interest in us and wish you all the best in your search."